VoterId,ElectionDate,ElectionDescription,VotingMethod
857642,11/02/2004,11/02/2004 - STATE GENERAL,A
857850,11/07/2000,STATE GENERAL,P
857850,11/03/1998,STATE GENERAL,P
830830,11/02/2004,11/02/2004 - STATE GENERAL,P
830830,11/07/2000,STATE GENERAL,P
830830,11/03/1998,STATE GENERAL,P
830830,11/05/1996,STATE GENERAL,P
830830,11/08/1994,STATE GENERAL,P
857642,09/12/2000,STATE PRIMARY ELECTION,P
857642,11/07/2000,STATE GENERAL,P
857642,11/03/1998,STATE GENERAL,P
857642,11/04/1997,SCHOOL BOARD ELECTION,P
857850,11/02/2004,11/02/2004 - STATE GENERAL,P
857642,09/10/2002,09-10-02 STATE PRIMARY,P
857642,11/05/2002,11-05-02 STATE GENERAL ELECTION,A
857850,11/07/2006,11/07/2006 - STATE GENERAL,P
857850,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
830830,11/08/2011,11/08/2011 - SD SPEC ELECT ISD 2174 - PINE RIVER-BACKUS,P
830830,11/07/2006,11/07/2006 - STATE GENERAL,P
830830,09/10/2002,09-10-2002 STATE PRIMARY,P
830830,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
830830,11/02/2010,11/02/2010 - STATE GENERAL,P
830830,11/04/2008,11/04/2008 - STATE GENERAL,P
857850,11/04/2008,11/04/2008 - STATE GENERAL,P
889195,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
860583,11/07/2000,STATE GENERAL,P
860583,11/03/1998,STATE GENERAL,P
811714,11/05/2024,11/05/2024 - STATE GENERAL,A
889142,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
862475,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
861935,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
862149,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
889186,11/07/2000,STATE GENERAL,P
889186,11/08/1994,STATE GENERAL,P
881879,11/02/2004,11/02/2004 - STATE GENERAL,P
858841,11/07/2000,STATE GENERAL,P
858841,09/15/1998,STATE PRIMARY ELECTION,P
858841,11/03/1998,STATE GENERAL,P
858841,11/03/1998,SCHOOL BOARD ELECTION,P
860583,11/02/2004,11/02/2004 - STATE GENERAL,P
855086,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 721 - NEW PRAGUE AREA,P
894576,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
860583,11/07/2006,11/07/2006 - STATE GENERAL,P
806571,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
814511,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,A
888661,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
835479,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
836054,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
836382,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
863961,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 721 - NEW PRAGUE AREA,P
815352,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 721 - NEW PRAGUE AREA,P
806572,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
813675,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,A
883404,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
870909,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
887781,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
888660,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 194 - LAKEVILLE,P
858810,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 721 - NEW PRAGUE AREA,P
879476,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 721 - NEW PRAGUE AREA,A
879783,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 721 - NEW PRAGUE AREA,P
896016,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 721 - NEW PRAGUE AREA,P
860583,11/04/2008,11/04/2008 - STATE GENERAL,P
860583,11/08/2016,11/08/2016 - STATE GENERAL,P
860583,11/06/2007,11/06/2007 - SD SPEC ELECT ISD 252 - CANNON FALLS,P
860583,11/06/2012,11/06/2012 - STATE GENERAL,P
862149,11/06/2012,11/06/2012 - STATE GENERAL,P
860583,11/03/2020,11/03/2020 - STATE GENERAL,P
860583,11/08/2022,11/08/2022 - STATE GENERAL,P
857642,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
862149,11/02/2004,11/02/2004 - STATE GENERAL,P
862149,11/04/2008,11/04/2008 - STATE GENERAL,P
858841,11/06/2001,SCHOOL DISTRICT/MUNICIPAL ELECTION,P
819679,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
886143,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
886264,11/05/2024,11/05/2024 - STATE GENERAL,P
859213,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
886421,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
895974,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,A
891461,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
825184,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
862748,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
